"ID","age","value"
"1.1.1.1","16 to 19",1
"1.1.1.1","20 to 24",11
"1.1.1.1","25 to 34",134
"1.1.1.1","35 to 44",289
"1.1.1.1","45 to 54",518
"1.1.1.1","55 to 64",487
"1.1.1.1","65+",163
"1.1.1.10","16 to 19",0
"1.1.1.10","20 to 24",0
"1.1.1.10","25 to 34",2
"1.1.1.10","35 to 44",2
"1.1.1.10","45 to 54",9
"1.1.1.10","55 to 64",4
"1.1.1.10","65+",0
"1.1.1.11","16 to 19",0
"1.1.1.11","20 to 24",5
"1.1.1.11","25 to 34",30
"1.1.1.11","35 to 44",72
"1.1.1.11","45 to 54",80
"1.1.1.11","55 to 64",39
"1.1.1.11","65+",10
"1.1.1.12","16 to 19",0
"1.1.1.12","20 to 24",2
"1.1.1.12","25 to 34",8
"1.1.1.12","35 to 44",14
"1.1.1.12","45 to 54",8
"1.1.1.12","55 to 64",6
"1.1.1.12","65+",0
"1.1.1.13","16 to 19",0
"1.1.1.13","20 to 24",5
"1.1.1.13","25 to 34",39
"1.1.1.13","35 to 44",70
"1.1.1.13","45 to 54",88
"1.1.1.13","55 to 64",63
"1.1.1.13","65+",8
"1.1.1.14","16 to 19",0
"1.1.1.14","20 to 24",5
"1.1.1.14","25 to 34",35
"1.1.1.14","35 to 44",51
"1.1.1.14","45 to 54",49
"1.1.1.14","55 to 64",44
"1.1.1.14","65+",9
"1.1.1.15","16 to 19",1
"1.1.1.15","20 to 24",11
"1.1.1.15","25 to 34",59
"1.1.1.15","35 to 44",74
"1.1.1.15","45 to 54",64
"1.1.1.15","55 to 64",41
"1.1.1.15","65+",10
"1.1.1.16","16 to 19",5
"1.1.1.16","20 to 24",24
"1.1.1.16","25 to 34",99
"1.1.1.16","35 to 44",123
"1.1.1.16","45 to 54",182
"1.1.1.16","55 to 64",237
"1.1.1.16","65+",271
"1.1.1.17","16 to 19",1
"1.1.1.17","20 to 24",14
"1.1.1.17","25 to 34",123
"1.1.1.17","35 to 44",198
"1.1.1.17","45 to 54",200
"1.1.1.17","55 to 64",142
"1.1.1.17","65+",33
"1.1.1.18","16 to 19",1
"1.1.1.18","20 to 24",17
"1.1.1.18","25 to 34",133
"1.1.1.18","35 to 44",236
"1.1.1.18","45 to 54",226
"1.1.1.18","55 to 64",187
"1.1.1.18","65+",38
"1.1.1.19","16 to 19",0
"1.1.1.19","20 to 24",0
"1.1.1.19","25 to 34",16
"1.1.1.19","35 to 44",26
"1.1.1.19","45 to 54",48
"1.1.1.19","55 to 64",29
"1.1.1.19","65+",2
"1.1.1.2","16 to 19",0
"1.1.1.2","20 to 24",25
"1.1.1.2","25 to 34",177
"1.1.1.2","35 to 44",233
"1.1.1.2","45 to 54",260
"1.1.1.2","55 to 64",161
"1.1.1.2","65+",31
"1.1.1.20","16 to 19",21
"1.1.1.20","20 to 24",143
"1.1.1.20","25 to 34",287
"1.1.1.20","35 to 44",269
"1.1.1.20","45 to 54",208
"1.1.1.20","55 to 64",144
"1.1.1.20","65+",41
"1.1.1.21","16 to 19",0
"1.1.1.21","20 to 24",0
"1.1.1.21","25 to 34",2
"1.1.1.21","35 to 44",2
"1.1.1.21","45 to 54",4
"1.1.1.21","55 to 64",2
"1.1.1.21","65+",4
"1.1.1.22","16 to 19",0
"1.1.1.22","20 to 24",3
"1.1.1.22","25 to 34",3
"1.1.1.22","35 to 44",8
"1.1.1.22","45 to 54",8
"1.1.1.22","55 to 64",5
"1.1.1.22","65+",1
"1.1.1.23","16 to 19",1
"1.1.1.23","20 to 24",13
"1.1.1.23","25 to 34",28
"1.1.1.23","35 to 44",32
"1.1.1.23","45 to 54",36
"1.1.1.23","55 to 64",25
"1.1.1.23","65+",11
"1.1.1.24","16 to 19",0
"1.1.1.24","20 to 24",9
"1.1.1.24","25 to 34",99
"1.1.1.24","35 to 44",155
"1.1.1.24","45 to 54",160
"1.1.1.24","55 to 64",137
"1.1.1.24","65+",33
"1.1.1.25","16 to 19",0
"1.1.1.25","20 to 24",0
"1.1.1.25","25 to 34",1
"1.1.1.25","35 to 44",7
"1.1.1.25","45 to 54",5
"1.1.1.25","55 to 64",2
"1.1.1.25","65+",2
"1.1.1.26","16 to 19",0
"1.1.1.26","20 to 24",3
"1.1.1.26","25 to 34",3
"1.1.1.26","35 to 44",7
"1.1.1.26","45 to 54",11
"1.1.1.26","55 to 64",7
"1.1.1.26","65+",1
"1.1.1.27","16 to 19",1
"1.1.1.27","20 to 24",23
"1.1.1.27","25 to 34",117
"1.1.1.27","35 to 44",133
"1.1.1.27","45 to 54",148
"1.1.1.27","55 to 64",164
"1.1.1.27","65+",89
"1.1.1.28","16 to 19",2
"1.1.1.28","20 to 24",13
"1.1.1.28","25 to 34",76
"1.1.1.28","35 to 44",77
"1.1.1.28","45 to 54",89
"1.1.1.28","55 to 64",74
"1.1.1.28","65+",30
"1.1.1.29","16 to 19",0
"1.1.1.29","20 to 24",0
"1.1.1.29","25 to 34",0
"1.1.1.29","35 to 44",3
"1.1.1.29","45 to 54",1
"1.1.1.29","55 to 64",3
"1.1.1.29","65+",1
"1.1.1.3","16 to 19",0
"1.1.1.3","20 to 24",1
"1.1.1.3","25 to 34",1
"1.1.1.3","35 to 44",5
"1.1.1.3","45 to 54",3
"1.1.1.3","55 to 64",3
"1.1.1.3","65+",5
"1.1.1.30","16 to 19",9
"1.1.1.30","20 to 24",96
"1.1.1.30","25 to 34",626
"1.1.1.30","35 to 44",948
"1.1.1.30","45 to 54",1265
"1.1.1.30","55 to 64",848
"1.1.1.30","65+",284
"1.1.1.4","16 to 19",0
"1.1.1.4","20 to 24",4
"1.1.1.4","25 to 34",23
"1.1.1.4","35 to 44",11
"1.1.1.4","45 to 54",8
"1.1.1.4","55 to 64",5
"1.1.1.4","65+",1
"1.1.1.5","16 to 19",0
"1.1.1.5","20 to 24",40
"1.1.1.5","25 to 34",227
"1.1.1.5","35 to 44",263
"1.1.1.5","45 to 54",225
"1.1.1.5","55 to 64",137
"1.1.1.5","65+",26
"1.1.1.6","16 to 19",0
"1.1.1.6","20 to 24",4
"1.1.1.6","25 to 34",21
"1.1.1.6","35 to 44",13
"1.1.1.6","45 to 54",16
"1.1.1.6","55 to 64",17
"1.1.1.6","65+",2
"1.1.1.7","16 to 19",1
"1.1.1.7","20 to 24",3
"1.1.1.7","25 to 34",15
"1.1.1.7","35 to 44",29
"1.1.1.7","45 to 54",39
"1.1.1.7","55 to 64",40
"1.1.1.7","65+",8
"1.1.1.8","16 to 19",1
"1.1.1.8","20 to 24",5
"1.1.1.8","25 to 34",111
"1.1.1.8","35 to 44",195
"1.1.1.8","45 to 54",195
"1.1.1.8","55 to 64",103
"1.1.1.8","65+",18
"1.1.1.9","16 to 19",0
"1.1.1.9","20 to 24",41
"1.1.1.9","25 to 34",259
"1.1.1.9","35 to 44",303
"1.1.1.9","45 to 54",330
"1.1.1.9","55 to 64",210
"1.1.1.9","65+",50
"1.1.2.1","16 to 19",0
"1.1.2.1","20 to 24",4
"1.1.2.1","25 to 34",18
"1.1.2.1","35 to 44",9
"1.1.2.1","45 to 54",9
"1.1.2.1","55 to 64",11
"1.1.2.1","65+",2
"1.1.2.10","16 to 19",1
"1.1.2.10","20 to 24",1
"1.1.2.10","25 to 34",38
"1.1.2.10","35 to 44",29
"1.1.2.10","45 to 54",30
"1.1.2.10","55 to 64",24
"1.1.2.10","65+",4
"1.1.2.11","16 to 19",0
"1.1.2.11","20 to 24",6
"1.1.2.11","25 to 34",31
"1.1.2.11","35 to 44",20
"1.1.2.11","45 to 54",22
"1.1.2.11","55 to 64",18
"1.1.2.11","65+",3
"1.1.2.12","16 to 19",1
"1.1.2.12","20 to 24",38
"1.1.2.12","25 to 34",174
"1.1.2.12","35 to 44",187
"1.1.2.12","45 to 54",199
"1.1.2.12","55 to 64",161
"1.1.2.12","65+",90
"1.1.2.13","16 to 19",3
"1.1.2.13","20 to 24",30
"1.1.2.13","25 to 34",49
"1.1.2.13","35 to 44",31
"1.1.2.13","45 to 54",22
"1.1.2.13","55 to 64",16
"1.1.2.13","65+",5
"1.1.2.14","16 to 19",1
"1.1.2.14","20 to 24",10
"1.1.2.14","25 to 34",23
"1.1.2.14","35 to 44",20
"1.1.2.14","45 to 54",18
"1.1.2.14","55 to 64",17
"1.1.2.14","65+",4
"1.1.2.15","16 to 19",0
"1.1.2.15","20 to 24",38
"1.1.2.15","25 to 34",86
"1.1.2.15","35 to 44",68
"1.1.2.15","45 to 54",50
"1.1.2.15","55 to 64",34
"1.1.2.15","65+",9
"1.1.2.16","16 to 19",1
"1.1.2.16","20 to 24",13
"1.1.2.16","25 to 34",47
"1.1.2.16","35 to 44",50
"1.1.2.16","45 to 54",46
"1.1.2.16","55 to 64",31
"1.1.2.16","65+",7
"1.1.2.17","16 to 19",2
"1.1.2.17","20 to 24",94
"1.1.2.17","25 to 34",407
"1.1.2.17","35 to 44",403
"1.1.2.17","45 to 54",417
"1.1.2.17","55 to 64",296
"1.1.2.17","65+",105
"1.1.2.18","16 to 19",0
"1.1.2.18","20 to 24",1
"1.1.2.18","25 to 34",20
"1.1.2.18","35 to 44",15
"1.1.2.18","45 to 54",28
"1.1.2.18","55 to 64",22
"1.1.2.18","65+",9
"1.1.2.19","16 to 19",0
"1.1.2.19","20 to 24",2
"1.1.2.19","25 to 34",12
"1.1.2.19","35 to 44",12
"1.1.2.19","45 to 54",12
"1.1.2.19","55 to 64",9
"1.1.2.19","65+",0
"1.1.2.2","16 to 19",0
"1.1.2.2","20 to 24",2
"1.1.2.2","25 to 34",3
"1.1.2.2","35 to 44",3
"1.1.2.2","45 to 54",2
"1.1.2.2","55 to 64",3
"1.1.2.2","65+",2
"1.1.2.20","16 to 19",0
"1.1.2.20","20 to 24",3
"1.1.2.20","25 to 34",9
"1.1.2.20","35 to 44",6
"1.1.2.20","45 to 54",6
"1.1.2.20","55 to 64",3
"1.1.2.20","65+",1
"1.1.2.21","16 to 19",0
"1.1.2.21","20 to 24",27
"1.1.2.21","25 to 34",79
"1.1.2.21","35 to 44",74
"1.1.2.21","45 to 54",38
"1.1.2.21","55 to 64",38
"1.1.2.21","65+",5
"1.1.2.22","16 to 19",1
"1.1.2.22","20 to 24",33
"1.1.2.22","25 to 34",100
"1.1.2.22","35 to 44",101
"1.1.2.22","45 to 54",91
"1.1.2.22","55 to 64",82
"1.1.2.22","65+",27
"1.1.2.23","16 to 19",0
"1.1.2.23","20 to 24",3
"1.1.2.23","25 to 34",33
"1.1.2.23","35 to 44",21
"1.1.2.23","45 to 54",27
"1.1.2.23","55 to 64",26
"1.1.2.23","65+",3
"1.1.2.24","16 to 19",0
"1.1.2.24","20 to 24",2
"1.1.2.24","25 to 34",3
"1.1.2.24","35 to 44",6
"1.1.2.24","45 to 54",3
"1.1.2.24","55 to 64",2
"1.1.2.24","65+",0
"1.1.2.25","16 to 19",1
"1.1.2.25","20 to 24",22
"1.1.2.25","25 to 34",74
"1.1.2.25","35 to 44",72
"1.1.2.25","45 to 54",67
"1.1.2.25","55 to 64",46
"1.1.2.25","65+",7
"1.1.2.26","16 to 19",0
"1.1.2.26","20 to 24",0
"1.1.2.26","25 to 34",15
"1.1.2.26","35 to 44",21
"1.1.2.26","45 to 54",19
"1.1.2.26","55 to 64",11
"1.1.2.26","65+",5
"1.1.2.27","16 to 19",1
"1.1.2.27","20 to 24",0
"1.1.2.27","25 to 34",17
"1.1.2.27","35 to 44",18
"1.1.2.27","45 to 54",18
"1.1.2.27","55 to 64",22
"1.1.2.27","65+",26
"1.1.2.28","16 to 19",0
"1.1.2.28","20 to 24",7
"1.1.2.28","25 to 34",16
"1.1.2.28","35 to 44",24
"1.1.2.28","45 to 54",25
"1.1.2.28","55 to 64",16
"1.1.2.28","65+",5
"1.1.2.3","16 to 19",2
"1.1.2.3","20 to 24",25
"1.1.2.3","25 to 34",43
"1.1.2.3","35 to 44",51
"1.1.2.3","45 to 54",47
"1.1.2.3","55 to 64",36
"1.1.2.3","65+",11
"1.1.2.4","16 to 19",1
"1.1.2.4","20 to 24",13
"1.1.2.4","25 to 34",52
"1.1.2.4","35 to 44",56
"1.1.2.4","45 to 54",72
"1.1.2.4","55 to 64",60
"1.1.2.4","65+",15
"1.1.2.5","16 to 19",0
"1.1.2.5","20 to 24",13
"1.1.2.5","25 to 34",68
"1.1.2.5","35 to 44",90
"1.1.2.5","45 to 54",75
"1.1.2.5","55 to 64",52
"1.1.2.5","65+",13
"1.1.2.6","16 to 19",0
"1.1.2.6","20 to 24",6
"1.1.2.6","25 to 34",46
"1.1.2.6","35 to 44",58
"1.1.2.6","45 to 54",64
"1.1.2.6","55 to 64",52
"1.1.2.6","65+",13
"1.1.2.7","16 to 19",0
"1.1.2.7","20 to 24",4
"1.1.2.7","25 to 34",24
"1.1.2.7","35 to 44",19
"1.1.2.7","45 to 54",20
"1.1.2.7","55 to 64",30
"1.1.2.7","65+",7
"1.1.2.8","16 to 19",2
"1.1.2.8","20 to 24",43
"1.1.2.8","25 to 34",172
"1.1.2.8","35 to 44",147
"1.1.2.8","45 to 54",126
"1.1.2.8","55 to 64",93
"1.1.2.8","65+",32
"1.1.2.9","16 to 19",0
"1.1.2.9","20 to 24",3
"1.1.2.9","25 to 34",21
"1.1.2.9","35 to 44",14
"1.1.2.9","45 to 54",20
"1.1.2.9","55 to 64",12
"1.1.2.9","65+",2
"1.2.1.1","16 to 19",0
"1.2.1.1","20 to 24",1
"1.2.1.1","25 to 34",12
"1.2.1.1","35 to 44",5
"1.2.1.1","45 to 54",5
"1.2.1.1","55 to 64",5
"1.2.1.1","65+",1
"1.2.1.10","16 to 19",0
"1.2.1.10","20 to 24",3
"1.2.1.10","25 to 34",33
"1.2.1.10","35 to 44",38
"1.2.1.10","45 to 54",31
"1.2.1.10","55 to 64",12
"1.2.1.10","65+",5
"1.2.1.11","16 to 19",9
"1.2.1.11","20 to 24",29
"1.2.1.11","25 to 34",124
"1.2.1.11","35 to 44",135
"1.2.1.11","45 to 54",120
"1.2.1.11","55 to 64",82
"1.2.1.11","65+",13
"1.2.1.12","16 to 19",0
"1.2.1.12","20 to 24",4
"1.2.1.12","25 to 34",12
"1.2.1.12","35 to 44",4
"1.2.1.12","45 to 54",6
"1.2.1.12","55 to 64",2
"1.2.1.12","65+",0
"1.2.1.13","16 to 19",0
"1.2.1.13","20 to 24",0
"1.2.1.13","25 to 34",0
"1.2.1.13","35 to 44",0
"1.2.1.13","45 to 54",1
"1.2.1.13","55 to 64",2
"1.2.1.13","65+",0
"1.2.1.14","16 to 19",0
"1.2.1.14","20 to 24",3
"1.2.1.14","25 to 34",36
"1.2.1.14","35 to 44",30
"1.2.1.14","45 to 54",38
"1.2.1.14","55 to 64",27
"1.2.1.14","65+",4
"1.2.1.15","16 to 19",0
"1.2.1.15","20 to 24",4
"1.2.1.15","25 to 34",33
"1.2.1.15","35 to 44",21
"1.2.1.15","45 to 54",17
"1.2.1.15","55 to 64",7
"1.2.1.15","65+",3
"1.2.1.16","16 to 19",0
"1.2.1.16","20 to 24",0
"1.2.1.16","25 to 34",1
"1.2.1.16","35 to 44",1
"1.2.1.16","45 to 54",2
"1.2.1.16","55 to 64",0
"1.2.1.16","65+",1
"1.2.1.2","16 to 19",1
"1.2.1.2","20 to 24",37
"1.2.1.2","25 to 34",122
"1.2.1.2","35 to 44",140
"1.2.1.2","45 to 54",120
"1.2.1.2","55 to 64",74
"1.2.1.2","65+",17
"1.2.1.3","16 to 19",0
"1.2.1.3","20 to 24",4
"1.2.1.3","25 to 34",12
"1.2.1.3","35 to 44",18
"1.2.1.3","45 to 54",17
"1.2.1.3","55 to 64",14
"1.2.1.3","65+",2
"1.2.1.4","16 to 19",3
"1.2.1.4","20 to 24",31
"1.2.1.4","25 to 34",127
"1.2.1.4","35 to 44",131
"1.2.1.4","45 to 54",130
"1.2.1.4","55 to 64",73
"1.2.1.4","65+",15
"1.2.1.5","16 to 19",2
"1.2.1.5","20 to 24",64
"1.2.1.5","25 to 34",373
"1.2.1.5","35 to 44",360
"1.2.1.5","45 to 54",290
"1.2.1.5","55 to 64",121
"1.2.1.5","65+",26
"1.2.1.6","16 to 19",4
"1.2.1.6","20 to 24",23
"1.2.1.6","25 to 34",88
"1.2.1.6","35 to 44",56
"1.2.1.6","45 to 54",27
"1.2.1.6","55 to 64",16
"1.2.1.6","65+",5
"1.2.1.7","16 to 19",7
"1.2.1.7","20 to 24",50
"1.2.1.7","25 to 34",142
"1.2.1.7","35 to 44",135
"1.2.1.7","45 to 54",110
"1.2.1.7","55 to 64",66
"1.2.1.7","65+",13
"1.2.1.8","16 to 19",0
"1.2.1.8","20 to 24",1
"1.2.1.8","25 to 34",21
"1.2.1.8","35 to 44",35
"1.2.1.8","45 to 54",23
"1.2.1.8","55 to 64",24
"1.2.1.8","65+",5
"1.2.1.9","16 to 19",0
"1.2.1.9","20 to 24",7
"1.2.1.9","25 to 34",53
"1.2.1.9","35 to 44",66
"1.2.1.9","45 to 54",53
"1.2.1.9","55 to 64",23
"1.2.1.9","65+",3
"1.2.2.1","16 to 19",0
"1.2.2.1","20 to 24",7
"1.2.2.1","25 to 34",46
"1.2.2.1","35 to 44",44
"1.2.2.1","45 to 54",34
"1.2.2.1","55 to 64",32
"1.2.2.1","65+",15
"1.2.2.10","16 to 19",0
"1.2.2.10","20 to 24",2
"1.2.2.10","25 to 34",11
"1.2.2.10","35 to 44",13
"1.2.2.10","45 to 54",10
"1.2.2.10","55 to 64",4
"1.2.2.10","65+",2
"1.2.2.11","16 to 19",0
"1.2.2.11","20 to 24",17
"1.2.2.11","25 to 34",44
"1.2.2.11","35 to 44",35
"1.2.2.11","45 to 54",50
"1.2.2.11","55 to 64",40
"1.2.2.11","65+",8
"1.2.2.12","16 to 19",0
"1.2.2.12","20 to 24",1
"1.2.2.12","25 to 34",2
"1.2.2.12","35 to 44",1
"1.2.2.12","45 to 54",5
"1.2.2.12","55 to 64",0
"1.2.2.12","65+",0
"1.2.2.13","16 to 19",0
"1.2.2.13","20 to 24",0
"1.2.2.13","25 to 34",9
"1.2.2.13","35 to 44",8
"1.2.2.13","45 to 54",10
"1.2.2.13","55 to 64",7
"1.2.2.13","65+",1
"1.2.2.14","16 to 19",0
"1.2.2.14","20 to 24",23
"1.2.2.14","25 to 34",77
"1.2.2.14","35 to 44",72
"1.2.2.14","45 to 54",72
"1.2.2.14","55 to 64",47
"1.2.2.14","65+",12
"1.2.2.15","16 to 19",0
"1.2.2.15","20 to 24",1
"1.2.2.15","25 to 34",3
"1.2.2.15","35 to 44",5
"1.2.2.15","45 to 54",4
"1.2.2.15","55 to 64",3
"1.2.2.15","65+",0
"1.2.2.16","16 to 19",0
"1.2.2.16","20 to 24",1
"1.2.2.16","25 to 34",2
"1.2.2.16","35 to 44",2
"1.2.2.16","45 to 54",0
"1.2.2.16","55 to 64",1
"1.2.2.16","65+",0
"1.2.2.17","16 to 19",0
"1.2.2.17","20 to 24",1
"1.2.2.17","25 to 34",12
"1.2.2.17","35 to 44",10
"1.2.2.17","45 to 54",6
"1.2.2.17","55 to 64",8
"1.2.2.17","65+",1
"1.2.2.18","16 to 19",3
"1.2.2.18","20 to 24",14
"1.2.2.18","25 to 34",92
"1.2.2.18","35 to 44",88
"1.2.2.18","45 to 54",96
"1.2.2.18","55 to 64",88
"1.2.2.18","65+",25
"1.2.2.19","16 to 19",0
"1.2.2.19","20 to 24",17
"1.2.2.19","25 to 34",26
"1.2.2.19","35 to 44",36
"1.2.2.19","45 to 54",32
"1.2.2.19","55 to 64",24
"1.2.2.19","65+",2
"1.2.2.2","16 to 19",0
"1.2.2.2","20 to 24",4
"1.2.2.2","25 to 34",12
"1.2.2.2","35 to 44",6
"1.2.2.2","45 to 54",8
"1.2.2.2","55 to 64",8
"1.2.2.2","65+",3
"1.2.2.20","16 to 19",5
"1.2.2.20","20 to 24",38
"1.2.2.20","25 to 34",69
"1.2.2.20","35 to 44",75
"1.2.2.20","45 to 54",85
"1.2.2.20","55 to 64",84
"1.2.2.20","65+",12
"1.2.2.21","16 to 19",3
"1.2.2.21","20 to 24",10
"1.2.2.21","25 to 34",17
"1.2.2.21","35 to 44",17
"1.2.2.21","45 to 54",14
"1.2.2.21","55 to 64",15
"1.2.2.21","65+",1
"1.2.2.3","16 to 19",0
"1.2.2.3","20 to 24",6
"1.2.2.3","25 to 34",31
"1.2.2.3","35 to 44",33
"1.2.2.3","45 to 54",34
"1.2.2.3","55 to 64",38
"1.2.2.3","65+",5
"1.2.2.4","16 to 19",0
"1.2.2.4","20 to 24",0
"1.2.2.4","25 to 34",1
"1.2.2.4","35 to 44",2
"1.2.2.4","45 to 54",1
"1.2.2.4","55 to 64",0
"1.2.2.4","65+",0
"1.2.2.5","16 to 19",0
"1.2.2.5","20 to 24",1
"1.2.2.5","25 to 34",5
"1.2.2.5","35 to 44",1
"1.2.2.5","45 to 54",4
"1.2.2.5","55 to 64",2
"1.2.2.5","65+",1
"1.2.2.6","16 to 19",0
"1.2.2.6","20 to 24",10
"1.2.2.6","25 to 34",23
"1.2.2.6","35 to 44",10
"1.2.2.6","45 to 54",23
"1.2.2.6","55 to 64",13
"1.2.2.6","65+",1
"1.2.2.7","16 to 19",0
"1.2.2.7","20 to 24",24
"1.2.2.7","25 to 34",89
"1.2.2.7","35 to 44",64
"1.2.2.7","45 to 54",81
"1.2.2.7","55 to 64",64
"1.2.2.7","65+",27
"1.2.2.8","16 to 19",0
"1.2.2.8","20 to 24",3
"1.2.2.8","25 to 34",17
"1.2.2.8","35 to 44",24
"1.2.2.8","45 to 54",20
"1.2.2.8","55 to 64",15
"1.2.2.8","65+",4
"1.2.2.9","16 to 19",0
"1.2.2.9","20 to 24",15
"1.2.2.9","25 to 34",62
"1.2.2.9","35 to 44",57
"1.2.2.9","45 to 54",72
"1.2.2.9","55 to 64",51
"1.2.2.9","65+",12
"1.2.3.1","16 to 19",0
"1.2.3.1","20 to 24",2
"1.2.3.1","25 to 34",11
"1.2.3.1","35 to 44",7
"1.2.3.1","45 to 54",8
"1.2.3.1","55 to 64",2
"1.2.3.1","65+",1
"1.2.3.10","16 to 19",0
"1.2.3.10","20 to 24",8
"1.2.3.10","25 to 34",45
"1.2.3.10","35 to 44",53
"1.2.3.10","45 to 54",39
"1.2.3.10","55 to 64",25
"1.2.3.10","65+",13
"1.2.3.11","16 to 19",0
"1.2.3.11","20 to 24",2
"1.2.3.11","25 to 34",8
"1.2.3.11","35 to 44",12
"1.2.3.11","45 to 54",5
"1.2.3.11","55 to 64",3
"1.2.3.11","65+",3
"1.2.3.12","16 to 19",1
"1.2.3.12","20 to 24",0
"1.2.3.12","25 to 34",1
"1.2.3.12","35 to 44",1
"1.2.3.12","45 to 54",0
"1.2.3.12","55 to 64",1
"1.2.3.12","65+",0
"1.2.3.13","16 to 19",0
"1.2.3.13","20 to 24",2
"1.2.3.13","25 to 34",45
"1.2.3.13","35 to 44",53
"1.2.3.13","45 to 54",46
"1.2.3.13","55 to 64",47
"1.2.3.13","65+",39
"1.2.3.14","16 to 19",0
"1.2.3.14","20 to 24",0
"1.2.3.14","25 to 34",3
"1.2.3.14","35 to 44",0
"1.2.3.14","45 to 54",0
