"ID","age","value"
"1.2.3.14","55 to 64",0
"1.2.3.14","65+",0
"1.2.3.15","16 to 19",0
"1.2.3.15","20 to 24",1
"1.2.3.15","25 to 34",5
"1.2.3.15","35 to 44",8
"1.2.3.15","45 to 54",5
"1.2.3.15","55 to 64",5
"1.2.3.15","65+",1
"1.2.3.16","16 to 19",0
"1.2.3.16","20 to 24",3
"1.2.3.16","25 to 34",12
"1.2.3.16","35 to 44",10
"1.2.3.16","45 to 54",8
"1.2.3.16","55 to 64",5
"1.2.3.16","65+",4
"1.2.3.17","16 to 19",0
"1.2.3.17","20 to 24",2
"1.2.3.17","25 to 34",16
"1.2.3.17","35 to 44",8
"1.2.3.17","45 to 54",8
"1.2.3.17","55 to 64",3
"1.2.3.17","65+",3
"1.2.3.18","16 to 19",0
"1.2.3.18","20 to 24",10
"1.2.3.18","25 to 34",7
"1.2.3.18","35 to 44",5
"1.2.3.18","45 to 54",3
"1.2.3.18","55 to 64",0
"1.2.3.18","65+",1
"1.2.3.19","16 to 19",0
"1.2.3.19","20 to 24",6
"1.2.3.19","25 to 34",21
"1.2.3.19","35 to 44",17
"1.2.3.19","45 to 54",13
"1.2.3.19","55 to 64",11
"1.2.3.19","65+",3
"1.2.3.2","16 to 19",0
"1.2.3.2","20 to 24",9
"1.2.3.2","25 to 34",23
"1.2.3.2","35 to 44",33
"1.2.3.2","45 to 54",19
"1.2.3.2","55 to 64",20
"1.2.3.2","65+",6
"1.2.3.20","16 to 19",0
"1.2.3.20","20 to 24",1
"1.2.3.20","25 to 34",7
"1.2.3.20","35 to 44",2
"1.2.3.20","45 to 54",7
"1.2.3.20","55 to 64",3
"1.2.3.20","65+",0
"1.2.3.21","16 to 19",0
"1.2.3.21","20 to 24",0
"1.2.3.21","25 to 34",0
"1.2.3.21","35 to 44",1
"1.2.3.21","45 to 54",3
"1.2.3.21","55 to 64",1
"1.2.3.21","65+",1
"1.2.3.22","16 to 19",0
"1.2.3.22","20 to 24",0
"1.2.3.22","25 to 34",0
"1.2.3.22","35 to 44",1
"1.2.3.22","45 to 54",1
"1.2.3.22","55 to 64",0
"1.2.3.22","65+",0
"1.2.3.23","16 to 19",2
"1.2.3.23","20 to 24",37
"1.2.3.23","25 to 34",36
"1.2.3.23","35 to 44",27
"1.2.3.23","45 to 54",22
"1.2.3.23","55 to 64",23
"1.2.3.23","65+",2
"1.2.3.3","16 to 19",0
"1.2.3.3","20 to 24",1
"1.2.3.3","25 to 34",7
"1.2.3.3","35 to 44",8
"1.2.3.3","45 to 54",3
"1.2.3.3","55 to 64",7
"1.2.3.3","65+",1
"1.2.3.4","16 to 19",0
"1.2.3.4","20 to 24",7
"1.2.3.4","25 to 34",43
"1.2.3.4","35 to 44",40
"1.2.3.4","45 to 54",24
"1.2.3.4","55 to 64",20
"1.2.3.4","65+",9
"1.2.3.5","16 to 19",0
"1.2.3.5","20 to 24",0
"1.2.3.5","25 to 34",0
"1.2.3.5","35 to 44",0
"1.2.3.5","45 to 54",0
"1.2.3.5","55 to 64",0
"1.2.3.5","65+",0
"1.2.3.6","16 to 19",0
"1.2.3.6","20 to 24",1
"1.2.3.6","25 to 34",2
"1.2.3.6","35 to 44",1
"1.2.3.6","45 to 54",2
"1.2.3.6","55 to 64",3
"1.2.3.6","65+",3
"1.2.3.7","16 to 19",0
"1.2.3.7","20 to 24",2
"1.2.3.7","25 to 34",1
"1.2.3.7","35 to 44",1
"1.2.3.7","45 to 54",3
"1.2.3.7","55 to 64",1
"1.2.3.7","65+",0
"1.2.3.8","16 to 19",0
"1.2.3.8","20 to 24",6
"1.2.3.8","25 to 34",25
"1.2.3.8","35 to 44",26
"1.2.3.8","45 to 54",24
"1.2.3.8","55 to 64",15
"1.2.3.8","65+",5
"1.2.3.9","16 to 19",0
"1.2.3.9","20 to 24",7
"1.2.3.9","25 to 34",17
"1.2.3.9","35 to 44",24
"1.2.3.9","45 to 54",20
"1.2.3.9","55 to 64",19
"1.2.3.9","65+",4
"1.2.4.1","16 to 19",16
"1.2.4.1","20 to 24",50
"1.2.4.1","25 to 34",189
"1.2.4.1","35 to 44",164
"1.2.4.1","45 to 54",144
"1.2.4.1","55 to 64",134
"1.2.4.1","65+",39
"1.2.4.2","16 to 19",0
"1.2.4.2","20 to 24",33
"1.2.4.2","25 to 34",219
"1.2.4.2","35 to 44",215
"1.2.4.2","45 to 54",178
"1.2.4.2","55 to 64",117
"1.2.4.2","65+",36
"1.2.4.3","16 to 19",0
"1.2.4.3","20 to 24",2
"1.2.4.3","25 to 34",24
"1.2.4.3","35 to 44",39
"1.2.4.3","45 to 54",24
"1.2.4.3","55 to 64",11
"1.2.4.3","65+",0
"1.2.4.4","16 to 19",1
"1.2.4.4","20 to 24",16
"1.2.4.4","25 to 34",40
"1.2.4.4","35 to 44",42
"1.2.4.4","45 to 54",36
"1.2.4.4","55 to 64",34
"1.2.4.4","65+",11
"1.2.4.5","16 to 19",2
"1.2.4.5","20 to 24",10
"1.2.4.5","25 to 34",27
"1.2.4.5","35 to 44",22
"1.2.4.5","45 to 54",22
"1.2.4.5","55 to 64",23
"1.2.4.5","65+",9
"1.2.4.6","16 to 19",1
"1.2.4.6","20 to 24",16
"1.2.4.6","25 to 34",61
"1.2.4.6","35 to 44",80
"1.2.4.6","45 to 54",109
"1.2.4.6","55 to 64",101
"1.2.4.6","65+",67
"1.2.4.7","16 to 19",0
"1.2.4.7","20 to 24",6
"1.2.4.7","25 to 34",18
"1.2.4.7","35 to 44",11
"1.2.4.7","45 to 54",11
"1.2.4.7","55 to 64",15
"1.2.4.7","65+",3
"1.2.4.8","16 to 19",1
"1.2.4.8","20 to 24",8
"1.2.4.8","25 to 34",9
"1.2.4.8","35 to 44",15
"1.2.4.8","45 to 54",19
"1.2.4.8","55 to 64",10
"1.2.4.8","65+",6
"1.2.5.1","16 to 19",0
"1.2.5.1","20 to 24",5
"1.2.5.1","25 to 34",223
"1.2.5.1","35 to 44",276
"1.2.5.1","45 to 54",254
"1.2.5.1","55 to 64",250
"1.2.5.1","65+",123
"1.2.5.2","16 to 19",0
"1.2.5.2","20 to 24",0
"1.2.5.2","25 to 34",6
"1.2.5.2","35 to 44",3
"1.2.5.2","45 to 54",1
"1.2.5.2","55 to 64",2
"1.2.5.2","65+",0
"1.2.5.3","16 to 19",0
"1.2.5.3","20 to 24",1
"1.2.5.3","25 to 34",5
"1.2.5.3","35 to 44",7
"1.2.5.3","45 to 54",17
"1.2.5.3","55 to 64",16
"1.2.5.3","65+",8
"1.2.5.4","16 to 19",2
"1.2.5.4","20 to 24",25
"1.2.5.4","25 to 34",110
"1.2.5.4","35 to 44",86
"1.2.5.4","45 to 54",104
"1.2.5.4","55 to 64",72
"1.2.5.4","65+",18
"1.2.5.5","16 to 19",3
"1.2.5.5","20 to 24",7
"1.2.5.5","25 to 34",45
"1.2.5.5","35 to 44",33
"1.2.5.5","45 to 54",55
"1.2.5.5","55 to 64",47
"1.2.5.5","65+",10
"1.2.6.1","16 to 19",5
"1.2.6.1","20 to 24",84
"1.2.6.1","25 to 34",296
"1.2.6.1","35 to 44",229
"1.2.6.1","45 to 54",236
"1.2.6.1","55 to 64",260
"1.2.6.1","65+",150
"1.2.6.10","16 to 19",18
"1.2.6.10","20 to 24",105
"1.2.6.10","25 to 34",142
"1.2.6.10","35 to 44",179
"1.2.6.10","45 to 54",226
"1.2.6.10","55 to 64",185
"1.2.6.10","65+",47
"1.2.6.11","16 to 19",0
"1.2.6.11","20 to 24",14
"1.2.6.11","25 to 34",39
"1.2.6.11","35 to 44",42
"1.2.6.11","45 to 54",50
"1.2.6.11","55 to 64",43
"1.2.6.11","65+",17
"1.2.6.2","16 to 19",6
"1.2.6.2","20 to 24",67
"1.2.6.2","25 to 34",192
"1.2.6.2","35 to 44",158
"1.2.6.2","45 to 54",135
"1.2.6.2","55 to 64",77
"1.2.6.2","65+",29
"1.2.6.3","16 to 19",8
"1.2.6.3","20 to 24",139
"1.2.6.3","25 to 34",766
"1.2.6.3","35 to 44",855
"1.2.6.3","45 to 54",709
"1.2.6.3","55 to 64",479
"1.2.6.3","65+",146
"1.2.6.4","16 to 19",2
"1.2.6.4","20 to 24",53
"1.2.6.4","25 to 34",296
"1.2.6.4","35 to 44",282
"1.2.6.4","45 to 54",233
"1.2.6.4","55 to 64",189
"1.2.6.4","65+",43
"1.2.6.5","16 to 19",0
"1.2.6.5","20 to 24",15
"1.2.6.5","25 to 34",78
"1.2.6.5","35 to 44",80
"1.2.6.5","45 to 54",72
"1.2.6.5","55 to 64",80
"1.2.6.5","65+",11
"1.2.6.6","16 to 19",49
"1.2.6.6","20 to 24",119
"1.2.6.6","25 to 34",182
"1.2.6.6","35 to 44",142
"1.2.6.6","45 to 54",140
"1.2.6.6","55 to 64",129
"1.2.6.6","65+",75
"1.2.6.7","16 to 19",0
"1.2.6.7","20 to 24",6
"1.2.6.7","25 to 34",6
"1.2.6.7","35 to 44",15
"1.2.6.7","45 to 54",10
"1.2.6.7","55 to 64",7
"1.2.6.7","65+",3
"1.2.6.8","16 to 19",2
"1.2.6.8","20 to 24",6
"1.2.6.8","25 to 34",25
"1.2.6.8","35 to 44",47
"1.2.6.8","45 to 54",41
"1.2.6.8","55 to 64",55
"1.2.6.8","65+",21
"1.2.6.9","16 to 19",6
"1.2.6.9","20 to 24",10
"1.2.6.9","25 to 34",4
"1.2.6.9","35 to 44",4
"1.2.6.9","45 to 54",5
"1.2.6.9","55 to 64",6
"1.2.6.9","65+",1
"1.2.7.1","16 to 19",2
"1.2.7.1","20 to 24",9
"1.2.7.1","25 to 34",38
"1.2.7.1","35 to 44",37
"1.2.7.1","45 to 54",44
"1.2.7.1","55 to 64",49
"1.2.7.1","65+",24
"1.2.7.10","16 to 19",1
"1.2.7.10","20 to 24",16
"1.2.7.10","25 to 34",30
"1.2.7.10","35 to 44",16
"1.2.7.10","45 to 54",9
"1.2.7.10","55 to 64",5
"1.2.7.10","65+",3
"1.2.7.11","16 to 19",0
"1.2.7.11","20 to 24",12
"1.2.7.11","25 to 34",48
"1.2.7.11","35 to 44",31
"1.2.7.11","45 to 54",23
"1.2.7.11","55 to 64",16
"1.2.7.11","65+",5
"1.2.7.12","16 to 19",2
"1.2.7.12","20 to 24",15
"1.2.7.12","25 to 34",40
"1.2.7.12","35 to 44",35
"1.2.7.12","45 to 54",34
"1.2.7.12","55 to 64",26
"1.2.7.12","65+",11
"1.2.7.13","16 to 19",0
"1.2.7.13","20 to 24",3
"1.2.7.13","25 to 34",14
"1.2.7.13","35 to 44",10
"1.2.7.13","45 to 54",17
"1.2.7.13","55 to 64",15
"1.2.7.13","65+",1
"1.2.7.14","16 to 19",1
"1.2.7.14","20 to 24",17
"1.2.7.14","25 to 34",49
"1.2.7.14","35 to 44",42
"1.2.7.14","45 to 54",45
"1.2.7.14","55 to 64",44
"1.2.7.14","65+",24
"1.2.7.15","16 to 19",0
"1.2.7.15","20 to 24",6
"1.2.7.15","25 to 34",9
"1.2.7.15","35 to 44",23
"1.2.7.15","45 to 54",21
"1.2.7.15","55 to 64",13
"1.2.7.15","65+",7
"1.2.7.16","16 to 19",2
"1.2.7.16","20 to 24",16
"1.2.7.16","25 to 34",29
"1.2.7.16","35 to 44",21
"1.2.7.16","45 to 54",26
"1.2.7.16","55 to 64",11
"1.2.7.16","65+",3
"1.2.7.17","16 to 19",3
"1.2.7.17","20 to 24",11
"1.2.7.17","25 to 34",64
"1.2.7.17","35 to 44",42
"1.2.7.17","45 to 54",25
"1.2.7.17","55 to 64",18
"1.2.7.17","65+",11
"1.2.7.18","16 to 19",3
"1.2.7.18","20 to 24",7
"1.2.7.18","25 to 34",22
"1.2.7.18","35 to 44",18
"1.2.7.18","45 to 54",10
"1.2.7.18","55 to 64",11
"1.2.7.18","65+",1
"1.2.7.19","16 to 19",0
"1.2.7.19","20 to 24",0
"1.2.7.19","25 to 34",0
"1.2.7.19","35 to 44",0
"1.2.7.19","45 to 54",0
"1.2.7.19","55 to 64",0
"1.2.7.19","65+",0
"1.2.7.2","16 to 19",5
"1.2.7.2","20 to 24",72
"1.2.7.2","25 to 34",216
"1.2.7.2","35 to 44",187
"1.2.7.2","45 to 54",179
"1.2.7.2","55 to 64",125
"1.2.7.2","65+",46
"1.2.7.3","16 to 19",3
"1.2.7.3","20 to 24",4
"1.2.7.3","25 to 34",9
"1.2.7.3","35 to 44",10
"1.2.7.3","45 to 54",9
"1.2.7.3","55 to 64",4
"1.2.7.3","65+",4
"1.2.7.4","16 to 19",0
"1.2.7.4","20 to 24",15
"1.2.7.4","25 to 34",48
"1.2.7.4","35 to 44",31
"1.2.7.4","45 to 54",35
"1.2.7.4","55 to 64",24
"1.2.7.4","65+",8
"1.2.7.5","16 to 19",37
"1.2.7.5","20 to 24",61
"1.2.7.5","25 to 34",71
"1.2.7.5","35 to 44",55
"1.2.7.5","45 to 54",33
"1.2.7.5","55 to 64",27
"1.2.7.5","65+",10
"1.2.7.6","16 to 19",2
"1.2.7.6","20 to 24",6
"1.2.7.6","25 to 34",5
"1.2.7.6","35 to 44",1
"1.2.7.6","45 to 54",2
"1.2.7.6","55 to 64",2
"1.2.7.6","65+",1
"1.2.7.7","16 to 19",4
"1.2.7.7","20 to 24",13
"1.2.7.7","25 to 34",40
"1.2.7.7","35 to 44",37
"1.2.7.7","45 to 54",39
"1.2.7.7","55 to 64",37
"1.2.7.7","65+",24
"1.2.7.8","16 to 19",2
"1.2.7.8","20 to 24",6
"1.2.7.8","25 to 34",9
"1.2.7.8","35 to 44",9
"1.2.7.8","45 to 54",3
"1.2.7.8","55 to 64",6
"1.2.7.8","65+",3
"1.2.7.9","16 to 19",0
"1.2.7.9","20 to 24",9
"1.2.7.9","25 to 34",19
"1.2.7.9","35 to 44",15
"1.2.7.9","45 to 54",8
"1.2.7.9","55 to 64",7
"1.2.7.9","65+",2
"1.2.8.1","16 to 19",0
"1.2.8.1","20 to 24",0
"1.2.8.1","25 to 34",12
"1.2.8.1","35 to 44",16
"1.2.8.1","45 to 54",17
"1.2.8.1","55 to 64",14
"1.2.8.1","65+",8
"1.2.8.10","16 to 19",1
"1.2.8.10","20 to 24",3
"1.2.8.10","25 to 34",36
"1.2.8.10","35 to 44",28
"1.2.8.10","45 to 54",26
"1.2.8.10","55 to 64",14
"1.2.8.10","65+",3
"1.2.8.11","16 to 19",0
"1.2.8.11","20 to 24",5
"1.2.8.11","25 to 34",76
"1.2.8.11","35 to 44",71
"1.2.8.11","45 to 54",57
"1.2.8.11","55 to 64",27
"1.2.8.11","65+",8
"1.2.8.12","16 to 19",0
"1.2.8.12","20 to 24",0
"1.2.8.12","25 to 34",4
"1.2.8.12","35 to 44",2
"1.2.8.12","45 to 54",6
"1.2.8.12","55 to 64",5
"1.2.8.12","65+",0
"1.2.8.13","16 to 19",0
"1.2.8.13","20 to 24",0
"1.2.8.13","25 to 34",4
"1.2.8.13","35 to 44",2
"1.2.8.13","45 to 54",2
"1.2.8.13","55 to 64",1
"1.2.8.13","65+",1
"1.2.8.14","16 to 19",0
"1.2.8.14","20 to 24",1
"1.2.8.14","25 to 34",26
"1.2.8.14","35 to 44",31
"1.2.8.14","45 to 54",25
"1.2.8.14","55 to 64",24
"1.2.8.14","65+",4
"1.2.8.15","16 to 19",0
"1.2.8.15","20 to 24",2
"1.2.8.15","25 to 34",43
"1.2.8.15","35 to 44",42
"1.2.8.15","45 to 54",25
"1.2.8.15","55 to 64",21
"1.2.8.15","65+",4
"1.2.8.16","16 to 19",0
"1.2.8.16","20 to 24",1
"1.2.8.16","25 to 34",1
"1.2.8.16","35 to 44",1
"1.2.8.16","45 to 54",0
"1.2.8.16","55 to 64",2
"1.2.8.16","65+",0
"1.2.8.17","16 to 19",0
"1.2.8.17","20 to 24",10
"1.2.8.17","25 to 34",59
"1.2.8.17","35 to 44",51
"1.2.8.17","45 to 54",33
"1.2.8.17","55 to 64",21
"1.2.8.17","65+",12
"1.2.8.18","16 to 19",0
"1.2.8.18","20 to 24",1
"1.2.8.18","25 to 34",14
"1.2.8.18","35 to 44",23
"1.2.8.18","45 to 54",17
"1.2.8.18","55 to 64",20
"1.2.8.18","65+",6
"1.2.8.19","16 to 19",2
"1.2.8.19","20 to 24",121
"1.2.8.19","25 to 34",733
"1.2.8.19","35 to 44",687
"1.2.8.19","45 to 54",686
"1.2.8.19","55 to 64",535
"1.2.8.19","65+",124
"1.2.8.2","16 to 19",0
"1.2.8.2","20 to 24",2
"1.2.8.2","25 to 34",28
"1.2.8.2","35 to 44",51
"1.2.8.2","45 to 54",34
"1.2.8.2","55 to 64",47
"1.2.8.2","65+",30
"1.2.8.20","16 to 19",0
"1.2.8.20","20 to 24",0
"1.2.8.20","25 to 34",6
"1.2.8.20","35 to 44",12
"1.2.8.20","45 to 54",9
"1.2.8.20","55 to 64",3
"1.2.8.20","65+",0
"1.2.8.21","16 to 19",0
"1.2.8.21","20 to 24",0
"1.2.8.21","25 to 34",1
"1.2.8.21","35 to 44",1
"1.2.8.21","45 to 54",0
"1.2.8.21","55 to 64",1
"1.2.8.21","65+",1
"1.2.8.22","16 to 19",0
"1.2.8.22","20 to 24",0
"1.2.8.22","25 to 34",31
"1.2.8.22","35 to 44",26
"1.2.8.22","45 to 54",31
"1.2.8.22","55 to 64",32
"1.2.8.22","65+",7
"1.2.8.23","16 to 19",0
"1.2.8.23","20 to 24",1
"1.2.8.23","25 to 34",4
"1.2.8.23","35 to 44",4
"1.2.8.23","45 to 54",7
"1.2.8.23","55 to 64",5
"1.2.8.23","65+",3
"1.2.8.24","16 to 19",1
"1.2.8.24","20 to 24",18
"1.2.8.24","25 to 34",76
"1.2.8.24","35 to 44",66
"1.2.8.24","45 to 54",60
"1.2.8.24","55 to 64",57
"1.2.8.24","65+",15
"1.2.8.25","16 to 19",0
"1.2.8.25","20 to 24",8
"1.2.8.25","25 to 34",56
"1.2.8.25","35 to 44",47
"1.2.8.25","45 to 54",37
"1.2.8.25","55 to 64",25
"1.2.8.25","65+",3
"1.2.8.26","16 to 19",0
"1.2.8.26","20 to 24",16
"1.2.8.26","25 to 34",88
"1.2.8.26","35 to 44",84
"1.2.8.26","45 to 54",72
"1.2.8.26","55 to 64",64
"1.2.8.26","65+",8
"1.2.8.27","16 to 19",3
"1.2.8.27","20 to 24",37
"1.2.8.27","25 to 34",86
"1.2.8.27","35 to 44",55
"1.2.8.27","45 to 54",33
"1.2.8.27","55 to 64",14
"1.2.8.27","65+",3
"1.2.8.28","16 to 19",13
"1.2.8.28","20 to 24",87
"1.2.8.28","25 to 34",200
"1.2.8.28","35 to 44",120
"1.2.8.28","45 to 54",92
"1.2.8.28","55 to 64",59
"1.2.8.28","65+",11
"1.2.8.29","16 to 19",5
"1.2.8.29","20 to 24",63
"1.2.8.29","25 to 34",140
"1.2.8.29","35 to 44",141
"1.2.8.29","45 to 54",138
"1.2.8.29","55 to 64",126
"1.2.8.29","65+",28
"1.2.8.3","16 to 19",1
"1.2.8.3","20 to 24",9
"1.2.8.3","25 to 34",34
"1.2.8.3","35 to 44",20
"1.2.8.3","45 to 54",27
"1.2.8.3","55 to 64",25
"1.2.8.3","65+",6
"1.2.8.30","16 to 19",0
"1.2.8.30","20 to 24",5
"1.2.8.30","25 to 34",27
"1.2.8.30","35 to 44",30
"1.2.8.30","45 to 54",39
"1.2.8.30","55 to 64",32
"1.2.8.30","65+",6
"1.2.8.31","16 to 19",0
"1.2.8.31","20 to 24",2
"1.2.8.31","25 to 34",11
"1.2.8.31","35 to 44",7
"1.2.8.31","45 to 54",10
"1.2.8.31","55 to 64",11
"1.2.8.31","65+",4
"1.2.8.32","16 to 19",1
"1.2.8.32","20 to 24",11
"1.2.8.32","25 to 34",27
"1.2.8.32","35 to 44",25
"1.2.8.32","45 to 54",35
"1.2.8.32","55 to 64",20
"1.2.8.32","65+",5
"1.2.8.33","16 to 19",0
"1.2.8.33","20 to 24",5
"1.2.8.33","25 to 34",32
"1.2.8.33","35 to 44",30
"1.2.8.33","45 to 54",19
"1.2.8.33","55 to 64",19
"1.2.8.33","65+",3
"1.2.8.4","16 to 19",0
"1.2.8.4","20 to 24",0
"1.2.8.4","25 to 34",8
"1.2.8.4","35 to 44",12
"1.2.8.4","45 to 54",12
"1.2.8.4","55 to 64",12
"1.2.8.4","65+",4
"1.2.8.5","16 to 19",0
"1.2.8.5","20 to 24",12
"1.2.8.5","25 to 34",90
"1.2.8.5","35 to 44",70
"1.2.8.5","45 to 54",54
"1.2.8.5","55 to 64",47
"1.2.8.5","65+",20
"1.2.8.6","16 to 19",0
"1.2.8.6","20 to 24",9
"1.2.8.6","25 to 34",224
"1.2.8.6","35 to 44",262
"1.2.8.6","45 to 54",221
"1.2.8.6","55 to 64",189
"1.2.8.6","65+",108
"1.2.8.7","16 to 19",0
"1.2.8.7","20 to 24",4
"1.2.8.7","25 to 34",34
"1.2.8.7","35 to 44",19
"1.2.8.7","45 to 54",11
"1.2.8.7","55 to 64",14
"1.2.8.7","65+",2
"1.2.8.8","16 to 19",0
"1.2.8.8","20 to 24",0
"1.2.8.8","25 to 34",1
"1.2.8.8","35 to 44",4
"1.2.8.8","45 to 54",2
"1.2.8.8","55 to 64",1
"1.2.8.8","65+",0
"1.2.8.9","16 to 19",0
"1.2.8.9","20 to 24",0
"1.2.8.9","25 to 34",6
"1.2.8.9","35 to 44",3
"1.2.8.9","45 to 54",4
"1.2.8.9","55 to 64",4
"1.2.8.9","65+",3
"2.1.1","16 to 19",51
"2.1.1","20 to 24",267
"2.1.1","25 to 34",435
"2.1.1","35 to 44",370
"2.1.1","45 to 54",445
"2.1.1","55 to 64",303
"2.1.1","65+",107
"2.1.10","16 to 19",2
"2.1.10","20 to 24",9
"2.1.10","25 to 34",33
"2.1.10","35 to 44",32
"2.1.10","45 to 54",21
"2.1.10","55 to 64",18
"2.1.10","65+",2
"2.1.11","16 to 19",8
"2.1.11","20 to 24",41
"2.1.11","25 to 34",37
"2.1.11","35 to 44",25
"2.1.11","45 to 54",33
"2.1.11","55 to 64",30
"2.1.11","65+",4
"2.1.2","16 to 19",0
"2.1.2","20 to 24",1
"2.1.2","25 to 34",3
"2.1.2","35 to 44",6
"2.1.2","45 to 54",4
"2.1.2","55 to 64",3
"2.1.2","65+",0
"2.1.3","16 to 19",0
"2.1.3","20 to 24",9
"2.1.3","25 to 34",22
"2.1.3","35 to 44",15
"2.1.3","45 to 54",15
"2.1.3","55 to 64",9
"2.1.3","65+",0
"2.1.4","16 to 19",1
"2.1.4","20 to 24",12
"2.1.4","25 to 34",41
"2.1.4","35 to 44",46
"2.1.4","45 to 54",40
"2.1.4","55 to 64",26
"2.1.4","65+",7
"2.1.5","16 to 19",6
"2.1.5","20 to 24",45
"2.1.5","25 to 34",78
"2.1.5","35 to 44",67
"2.1.5","45 to 54",47
"2.1.5","55 to 64",24
"2.1.5","65+",5
"2.1.6","16 to 19",7
"2.1.6","20 to 24",63
"2.1.6","25 to 34",173
"2.1.6","35 to 44",129
"2.1.6","45 to 54",78
"2.1.6","55 to 64",50
"2.1.6","65+",8
"2.1.7","16 to 19",1
"2.1.7","20 to 24",4
"2.1.7","25 to 34",6
"2.1.7","35 to 44",12
"2.1.7","45 to 54",15
"2.1.7","55 to 64",17
"2.1.7","65+",4
"2.1.8","16 to 19",2
"2.1.8","20 to 24",10
